比赛ID,比赛,市场主胜%,市场平局%,市场客胜%,模型主胜%,模型平局%,模型客胜%,主胜edge_pp,平局edge_pp,客胜edge_pp,主胜EV%,平局EV%,客胜EV%,关注方向,关注方向赔率,关注方向市场概率%,关注方向模型概率%,关注方向收缩后概率%,关注方向edge_pp,关注方向EV%,关注方向决策,关注方向结论,说明,GS预测结果,GS市场方向,GS一致性,GS比分
8287,墨西哥 vs 南非,66.7,21.8,11.5,66.4,21.9,11.8,-0.12,0.03,0.09,-4.81,-4.67,-3.78,away,8.28,11.5,11.8,11.6,0.09,-3.78,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,主胜,主胜,aligned,2-0
8288,韩国 vs 捷克,36.2,30.4,33.4,36.1,30.4,33.5,-0.05,-0.01,0.06,-5.20,-5.15,-4.76,away,2.85,33.4,33.5,33.4,0.06,-4.76,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,平局,主胜,divergent,1-1
8289,加拿大 vs 波黑,52.3,26.3,21.4,52.5,26.2,21.3,0.10,-0.04,-0.06,-3.10,-2.95,-1.60,home,1.85,52.3,52.5,52.4,0.10,-3.10,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,主胜,主胜,aligned,2-1
8290,美国 vs 巴拉圭,47.7,27.9,24.4,47.2,27.8,25,-0.21,-0.05,0.25,-5.43,-5.24,-4.04,away,3.9,24.4,25.0,24.6,0.25,-4.04,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,平局,主胜,divergent,1-1
8292,卡塔尔 vs 瑞士,7.3,15.3,77.3,7.4,15.2,77.4,0.04,-0.06,0.03,-1.89,-4.36,-4.86,home,13.31,7.3,7.4,7.4,0.04,-1.89,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,客胜,客胜,aligned,0-2
8293,巴西 vs 摩洛哥,57.5,24.9,17.6,57.6,24.4,18,0.02,-0.21,0.18,-2.71,-9.87,-5.11,home,1.69,57.5,57.6,57.6,0.02,-2.71,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,主胜,主胜,aligned,2-1
8294,海地 vs 苏格兰,15.3,21.8,62.9,15.7,22.1,62.3,0.14,0.13,-0.26,-4.49,-4.52,-5.40,home,6.18,15.3,15.7,15.5,0.14,-4.49,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,平局,客胜,divergent,1-1
8291,澳大利亚 vs 土耳其,19.6,25.9,54.5,20,26.2,53.8,0.17,0.11,-0.28,2.63,-0.07,-6.33,home,5.2,19.6,20.0,19.7,0.17,2.63,watch_ev_too_low,WATCH,盘口与预测市场大致同向，这类比赛适合用作 baseline 置信度较高的样本。 风险标签：prediction_market_missing,平局,客胜,divergent,1-1
