比赛ID,比赛,开赛时间,sourceMode_market,sourceMode_live,sourceMode_jingcai,bookmakerDiversity,predictionMarketCount,researchSafeStatus,riskProfile,calibrationMode,calibrationConfidence,calibrationScore,homeLambda,awayLambda,evidenceCoverage,市场主胜,市场平局,市场客胜,模型主胜,模型平局,模型客胜,主胜edge_pp,平局edge_pp,客胜edge_pp,主胜EV,平局EV,客胜EV,关注方向,关注方向赔率,关注方向市场概率,关注方向模型概率,关注方向收缩后概率,关注方向edge_pp,关注方向EV,关注方向决策,expressionLevel,expressionReason,expressionWarnings,maxRiskBudgetHint,strictExpressionLevel,strictDecisionCode,balancedExpressionLevel,balancedDecisionCode,aggressiveExpressionLevel,aggressiveDecisionCode,WATCH子类型,watch说明,officialPlayType,officialSelection,officialOdds,officialEV,officialSaleStatus,officialStopTime,officialNoJingcaiReason,GS_prior_mode,GS_prior_probability_home,GS_prior_probability_draw,GS_prior_probability_away,GS预测结果,GS市场方向,GS一致性,GS比分,riskTags
8287,墨西哥 vs 南非,2026-06-11T19:00:00Z,real_snapshot_replay,real_snapshot_replay,file,14,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0008,1.8000,0.6000,"h2h=Y,total=N,spread=N",66.9,21.6,11.5,66.4,21.9,11.8,-0.20,0.11,0.09,-5.30,-4.35,-3.66,away,8.290,11.5,11.8,11.6,0.09,-3.66,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,LEAN,balanced_gs_aligned_lean,SPECULATIVE_LEAN,aggressive_high_odds_exploration,watch_negative_ev,盘口拆解：主胜-0.20个百分点，平局+0.11个百分点，客胜+0.09个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,1,0,0,主胜,主胜,aligned,2-0,
8288,韩国 vs 捷克,2026-06-12T02:00:00Z,real_snapshot_replay,real_snapshot_replay,file,14,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0012,1.0500,1.0000,"h2h=Y,total=N,spread=N",36.0,30.6,33.3,36.1,30.4,33.5,0.02,-0.09,0.07,-5.31,-5.38,-3.96,away,2.875,33.3,33.5,33.4,0.07,-3.96,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,OBSERVE_ONLY,balanced_observe_only,SPECULATIVE_LEAN,aggressive_gs_divergence_exploration,watch_negative_ev|watch_gs_divergence,盘口拆解：主胜+0.02个百分点，平局-0.09个百分点，客胜+0.07个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,0,1,0,平局,主胜,divergent,1-1,
8289,加拿大 vs 波黑,2026-06-12T19:00:00Z,real_snapshot_replay,real_snapshot_replay,file,15,0,partial_verified_file,strict,partial_market_calibrated,medium,0.0015,1.5000,0.8500,"h2h=Y,total=N,spread=N",52.2,26.3,21.5,52.5,26.2,21.3,0.13,-0.07,-0.06,-4.44,-2.53,-2.43,home,1.826,52.2,52.5,52.3,0.13,-4.44,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前样本缺少单场预测市场，仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,LEAN,balanced_gs_aligned_lean,OBSERVE_ONLY,aggressive_observe_only,watch_negative_ev|watch_market_baseline_only,盘口拆解：主胜+0.13个百分点，平局-0.07个百分点，客胜-0.06个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,1,0,0,主胜,主胜,aligned,2-1,prediction_market_missing
8290,美国 vs 巴拉圭,2026-06-13T01:00:00Z,real_snapshot_replay,real_snapshot_replay,file,15,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0014,1.3000,0.8500,"h2h=Y,total=N,spread=N",47.7,28.1,24.2,47.1,28.5,24.4,-0.25,0.18,0.08,-5.60,-4.43,-4.55,draw,3.380,28.1,28.5,28.3,0.18,-4.43,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,OBSERVE_ONLY,balanced_observe_only,SPECULATIVE_LEAN,aggressive_gs_divergence_exploration,watch_negative_ev|watch_gs_divergence,盘口拆解：主胜-0.25个百分点，平局+0.18个百分点，客胜+0.08个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,0,1,0,平局,主胜,divergent,1-1,
8292,卡塔尔 vs 瑞士,2026-06-13T19:00:00Z,real_snapshot_replay,real_snapshot_replay,file,15,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0011,0.6000,2.4000,"h2h=Y,total=N,spread=N",7.4,15.2,77.4,7.4,15.2,77.4,0.02,-0.02,-0.00,-2.82,-4.05,-4.80,home,13.140,7.4,7.4,7.4,0.02,-2.82,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,LEAN,balanced_gs_aligned_lean,SPECULATIVE_LEAN,aggressive_negative_ev_exploration,watch_negative_ev,盘口拆解：主胜+0.02个百分点，平局-0.02个百分点，客胜-0.00个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,0,0,1,客胜,客胜,aligned,0-2,
8293,巴西 vs 摩洛哥,2026-06-13T22:00:00Z,real_snapshot_replay,real_snapshot_replay,file,15,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0015,1.5500,0.7500,"h2h=Y,total=N,spread=N",57.5,25.0,17.5,56.4,25.5,18.0,-0.43,0.22,0.21,-5.83,-4.20,-3.79,away,5.430,17.5,18.0,17.7,0.21,-3.79,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,LEAN,balanced_gs_aligned_lean,SPECULATIVE_LEAN,aggressive_high_odds_exploration,watch_negative_ev,盘口拆解：主胜-0.43个百分点，平局+0.22个百分点，客胜+0.21个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,1,0,0,主胜,主胜,aligned,2-1,
8294,海地 vs 苏格兰,2026-06-14T01:00:00Z,real_snapshot_replay,real_snapshot_replay,file,15,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0014,0.8000,1.8000,"h2h=Y,total=N,spread=N",16.1,22.1,61.8,16.2,22.6,61.1,0.05,0.21,-0.25,-5.70,-4.39,-5.27,draw,4.280,22.1,22.6,22.3,0.21,-4.39,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,OBSERVE_ONLY,balanced_observe_only,SPECULATIVE_LEAN,aggressive_gs_divergence_exploration,watch_negative_ev|watch_gs_divergence,盘口拆解：主胜+0.05个百分点，平局+0.21个百分点，客胜-0.25个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,0,1,0,平局,客胜,divergent,1-1,
8291,澳大利亚 vs 土耳其,2026-06-14T04:00:00Z,real_snapshot_replay,real_snapshot_replay,file,15,1,partial_verified_file,strict,partial_market_calibrated,medium,0.0014,0.8000,1.5500,"h2h=Y,total=N,spread=N",19.3,25.8,54.9,19.3,25.6,55.1,0.01,-0.08,0.07,-4.24,-5.19,-5.40,home,4.960,19.3,19.3,19.3,0.01,-4.24,watch_ev_too_low,OBSERVE_ONLY,严格 profile 下仅保留观察位，不构成正式推荐。,严格推荐仍由现有 gate 控制；当前结论仅供观察。,0,OBSERVE_ONLY,watch_ev_too_low,OBSERVE_ONLY,balanced_observe_only,SPECULATIVE_LEAN,aggressive_gs_divergence_exploration,watch_negative_ev|watch_gs_divergence,盘口拆解：主胜+0.01个百分点，平局-0.08个百分点，客胜+0.07个百分点。 三项边际都不到 0.5 个百分点，说明模型与市场几乎一致，适合继续观察，不宜直接下单。,,,,,,,skip_not_in_schedule,deterministic_modal_forecast,0,1,0,平局,客胜,divergent,1-1,
